id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,2,93,4,48,51,FALSE,FALSE
,2,92,4,48,51,FALSE,FALSE
,5,91,5,48,51,FALSE,FALSE
,5,90,5,48,51,FALSE,FALSE
,5,89,5,48,51,FALSE,FALSE
,5,88,5,48,51,FALSE,FALSE
,5,87,5,48,51,FALSE,FALSE
,9,86,6,48,51,FALSE,FALSE
,9,85,6,48,51,FALSE,FALSE
,9,84,6,48,51,FALSE,FALSE
,9,83,6,48,51,FALSE,FALSE
,9,82,6,48,51,FALSE,FALSE
,16,81,7,48,51,FALSE,FALSE
,16,80,7,48,51,FALSE,FALSE
,16,79,7,48,51,FALSE,FALSE
,16,78,7,48,51,FALSE,FALSE
,16,77,7,48,51,FALSE,FALSE
,25,76,8,48,51,FALSE,FALSE
,25,75,8,48,51,FALSE,FALSE
,25,74,8,48,51,FALSE,FALSE
,25,73,8,48,51,FALSE,FALSE
,37,72,9,48,51,FALSE,FALSE
,37,71,9,48,51,FALSE,FALSE
,37,70,9,48,51,FALSE,FALSE
,37,69,9,48,51,FALSE,FALSE
,37,68,9,48,51,FALSE,FALSE
,37,67,9,48,51,FALSE,FALSE
,50,66,10,48,51,FALSE,FALSE
,50,65,10,48,51,FALSE,FALSE
,50,64,10,48,51,FALSE,FALSE
,50,63,10,48,51,FALSE,FALSE
,50,62,10,48,51,FALSE,FALSE
,50,61,10,48,51,FALSE,FALSE
,50,60,10,48,51,FALSE,FALSE
,63,59,11,48,51,FALSE,FALSE
,63,58,11,48,51,FALSE,FALSE
,63,57,11,48,51,FALSE,FALSE
,63,56,11,48,51,FALSE,FALSE
,63,55,11,48,51,FALSE,FALSE
,63,54,11,48,51,FALSE,FALSE
,63,53,11,48,51,FALSE,FALSE
,75,52,12,48,51,FALSE,FALSE
,75,51,12,48,51,FALSE,FALSE
,75,50,12,48,51,FALSE,FALSE
,75,49,12,48,51,FALSE,FALSE
,75,48,12,48,51,FALSE,FALSE
,75,47,12,48,51,FALSE,FALSE
,75,46,12,48,51,FALSE,FALSE
,75,45,12,48,51,FALSE,FALSE
,84,44,13,48,51,FALSE,FALSE
,84,43,13,48,51,FALSE,FALSE
,84,42,13,48,51,FALSE,FALSE
,84,41,13,48,51,FALSE,FALSE
,84,40,13,48,51,FALSE,FALSE
,84,39,13,48,51,FALSE,FALSE
,84,38,13,48,51,FALSE,FALSE
,84,37,13,48,51,FALSE,FALSE
,91,36,14,48,51,FALSE,FALSE
,91,35,14,48,51,FALSE,FALSE
,91,34,14,48,51,FALSE,FALSE
,91,33,14,48,51,FALSE,FALSE
,91,32,14,48,51,FALSE,FALSE
,91,31,14,48,51,FALSE,FALSE
,91,30,14,48,51,FALSE,FALSE
,91,29,14,48,51,FALSE,FALSE
,91,28,14,48,51,FALSE,FALSE
,91,27,14,48,51,FALSE,FALSE
,95,26,15,48,51,FALSE,FALSE
,95,25,15,48,51,FALSE,FALSE
,95,24,15,48,51,FALSE,FALSE
,95,23,15,48,51,FALSE,FALSE
,95,22,15,48,51,FALSE,FALSE
,95,21,15,48,51,FALSE,FALSE
,95,20,15,48,51,FALSE,FALSE
,95,19,15,48,51,FALSE,FALSE
,95,18,15,48,51,FALSE,FALSE
,98,17,16,48,51,FALSE,FALSE
,98,16,16,48,51,FALSE,FALSE
,98,15,16,48,51,FALSE,FALSE
,99,14,17,48,51,FALSE,FALSE
,99,13,17,48,51,FALSE,FALSE
,100,12,18,48,51,FALSE,FALSE
,100,11,18,48,51,FALSE,FALSE
,100,10,19,48,51,FALSE,FALSE
,100,9,20,48,51,FALSE,TRUE
,0,98,1,60,65,TRUE,FALSE
,0,97,2,60,65,FALSE,FALSE
,0,96,2,60,65,FALSE,FALSE
,0,95,2,60,65,FALSE,FALSE
,0,94,2,60,65,FALSE,FALSE
,0,93,2,60,65,FALSE,FALSE
,0,92,2,60,65,FALSE,FALSE
,0,91,2,60,65,FALSE,FALSE
,0,90,2,60,65,FALSE,FALSE
,1,89,3,60,65,FALSE,FALSE
,1,88,3,60,65,FALSE,FALSE
,1,87,3,60,65,FALSE,FALSE
,1,86,3,60,65,FALSE,FALSE
,1,85,3,60,65,FALSE,FALSE
,2,84,4,60,65,FALSE,FALSE
,2,83,4,60,65,FALSE,FALSE
,2,82,4,60,65,FALSE,FALSE
,2,81,4,60,65,FALSE,FALSE
,2,80,4,60,65,FALSE,FALSE
,5,79,5,60,65,FALSE,FALSE
,5,78,5,60,65,FALSE,FALSE
,5,77,5,60,65,FALSE,FALSE
,5,76,5,60,65,FALSE,FALSE
,5,75,5,60,65,FALSE,FALSE
,9,74,6,60,65,FALSE,FALSE
,9,73,6,60,65,FALSE,FALSE
,9,72,6,60,65,FALSE,FALSE
,9,71,6,60,65,FALSE,FALSE
,16,70,7,60,65,FALSE,FALSE
,16,69,7,60,65,FALSE,FALSE
,16,68,7,60,65,FALSE,FALSE
,16,67,7,60,65,FALSE,FALSE
