id,Percentile_Rank,Nonword_Repitition,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,5,1,108,119,FALSE,FALSE
,0,6,1,108,119,FALSE,FALSE
,0,7,1,108,119,FALSE,FALSE
,0,8,2,108,119,FALSE,FALSE
,0,9,2,108,119,FALSE,FALSE
,0,10,2,108,119,FALSE,FALSE
,1,11,3,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,5,13,5,108,119,FALSE,FALSE
,9,14,6,108,119,FALSE,FALSE
,16,15,7,108,119,FALSE,FALSE
,25,16,8,108,119,FALSE,FALSE
,37,17,9,108,119,FALSE,FALSE
,50,18,10,108,119,FALSE,FALSE
,63,19,11,108,119,FALSE,FALSE
,75,20,12,108,119,FALSE,FALSE
,84,21,13,108,119,FALSE,FALSE
,91,22,14,108,119,FALSE,FALSE
,95,23,15,108,119,FALSE,FALSE
,98,24,16,108,119,FALSE,FALSE
,99,25,17,108,119,FALSE,FALSE
,100,26,18,108,119,FALSE,FALSE
,100,27,19,108,119,FALSE,FALSE
,100,28,19,108,119,FALSE,FALSE
,100,29,20,108,119,TRUE,FALSE
,0,0,1,120,131,FALSE,TRUE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,1,120,131,FALSE,FALSE
,0,4,1,120,131,FALSE,FALSE
,0,5,1,120,131,FALSE,FALSE
,0,6,1,120,131,FALSE,FALSE
,0,7,1,120,131,FALSE,FALSE
,0,8,2,120,131,FALSE,FALSE
,0,9,2,120,131,FALSE,FALSE
,0,10,2,120,131,FALSE,FALSE
,1,11,3,120,131,FALSE,FALSE
,2,12,4,120,131,FALSE,FALSE
,5,13,5,120,131,FALSE,FALSE
,9,14,6,120,131,FALSE,FALSE
,16,15,7,120,131,FALSE,FALSE
,25,16,8,120,131,FALSE,FALSE
,37,17,9,120,131,FALSE,FALSE
,50,18,10,120,131,FALSE,FALSE
,63,19,11,120,131,FALSE,FALSE
,75,20,12,120,131,FALSE,FALSE
,84,21,13,120,131,FALSE,FALSE
,91,22,14,120,131,FALSE,FALSE
,95,23,15,120,131,FALSE,FALSE
,98,24,16,120,131,FALSE,FALSE
,99,25,17,120,131,FALSE,FALSE
,100,26,18,120,131,FALSE,FALSE
,100,27,19,120,131,FALSE,FALSE
,100,28,19,120,131,FALSE,FALSE
,100,29,20,120,131,TRUE,FALSE
,0,0,1,132,143,FALSE,TRUE
,0,1,1,132,143,FALSE,FALSE
,0,2,1,132,143,FALSE,FALSE
,0,3,1,132,143,FALSE,FALSE
,0,4,1,132,143,FALSE,FALSE
,0,5,1,132,143,FALSE,FALSE
,0,6,1,132,143,FALSE,FALSE
,0,7,1,132,143,FALSE,FALSE
,0,8,2,132,143,FALSE,FALSE
,0,9,2,132,143,FALSE,FALSE
