id,Percentile_Rank,Blending_Words,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,16,17,7,90,95,FALSE,FALSE
,16,18,7,90,95,FALSE,FALSE
,25,19,8,90,95,FALSE,FALSE
,25,20,8,90,95,FALSE,FALSE
,37,21,9,90,95,FALSE,FALSE
,37,22,9,90,95,FALSE,FALSE
,50,23,10,90,95,FALSE,FALSE
,63,24,11,90,95,FALSE,FALSE
,75,25,12,90,95,FALSE,FALSE
,84,26,13,90,95,FALSE,FALSE
,91,27,14,90,95,FALSE,FALSE
,95,28,15,90,95,FALSE,FALSE
,98,29,16,90,95,FALSE,FALSE
,99,30,17,90,95,FALSE,FALSE
,100,31,18,90,95,FALSE,FALSE
,100,32,19,90,95,FALSE,FALSE
,100,33,20,90,95,TRUE,FALSE
,0,0,1,96,107,FALSE,TRUE
,0,1,1,96,107,FALSE,FALSE
,0,2,1,96,107,FALSE,FALSE
,0,3,1,96,107,FALSE,FALSE
,0,4,1,96,107,FALSE,FALSE
,0,5,1,96,107,FALSE,FALSE
,0,6,1,96,107,FALSE,FALSE
,0,7,1,96,107,FALSE,FALSE
,0,8,2,96,107,FALSE,FALSE
,0,9,2,96,107,FALSE,FALSE
,1,10,3,96,107,FALSE,FALSE
,1,11,3,96,107,FALSE,FALSE
,2,12,4,96,107,FALSE,FALSE
,2,13,4,96,107,FALSE,FALSE
,2,14,4,96,107,FALSE,FALSE
,5,15,5,96,107,FALSE,FALSE
,5,16,5,96,107,FALSE,FALSE
,9,17,6,96,107,FALSE,FALSE
,9,18,6,96,107,FALSE,FALSE
,16,19,7,96,107,FALSE,FALSE
,16,20,7,96,107,FALSE,FALSE
,25,21,8,96,107,FALSE,FALSE
,25,22,8,96,107,FALSE,FALSE
,37,23,9,96,107,FALSE,FALSE
,50,24,10,96,107,FALSE,FALSE
,63,25,11,96,107,FALSE,FALSE
,75,26,12,96,107,FALSE,FALSE
,84,27,13,96,107,FALSE,FALSE
,91,28,14,96,107,FALSE,FALSE
,95,29,15,96,107,FALSE,FALSE
,98,30,16,96,107,FALSE,FALSE
,99,31,17,96,107,FALSE,FALSE
,100,32,18,96,107,FALSE,FALSE
,100,33,19,96,107,TRUE,FALSE
,0,0,1,108,119,FALSE,TRUE
,0,1,1,108,119,FALSE,FALSE
,0,2,1,108,119,FALSE,FALSE
,0,3,1,108,119,FALSE,FALSE
,0,4,1,108,119,FALSE,FALSE
,0,5,1,108,119,FALSE,FALSE
,0,6,1,108,119,FALSE,FALSE
,0,7,1,108,119,FALSE,FALSE
,0,8,2,108,119,FALSE,FALSE
,0,9,2,108,119,FALSE,FALSE
,1,10,3,108,119,FALSE,FALSE
,1,11,3,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,2,13,4,108,119,FALSE,FALSE
,2,14,4,108,119,FALSE,FALSE
,5,15,5,108,119,FALSE,FALSE
,5,16,5,108,119,FALSE,FALSE
,9,17,6,108,119,FALSE,FALSE
,9,18,6,108,119,FALSE,FALSE
,16,19,7,108,119,FALSE,FALSE
,16,20,7,108,119,FALSE,FALSE
,25,21,8,108,119,FALSE,FALSE
,25,22,8,108,119,FALSE,FALSE
,37,23,9,108,119,FALSE,FALSE
,50,24,10,108,119,FALSE,FALSE
,63,25,11,108,119,FALSE,FALSE
,75,26,12,108,119,FALSE,FALSE
,84,27,13,108,119,FALSE,FALSE
,91,28,14,108,119,FALSE,FALSE
,95,29,15,108,119,FALSE,FALSE
,98,30,16,108,119,FALSE,FALSE
,99,31,17,108,119,FALSE,FALSE
,100,32,18,108,119,FALSE,FALSE
,100,33,19,108,119,TRUE,FALSE
,0,0,1,120,131,FALSE,TRUE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,1,120,131,FALSE,FALSE
,0,4,1,120,131,FALSE,FALSE
,0,5,1,120,131,FALSE,FALSE
,0,6,1,120,131,FALSE,FALSE
,0,7,1,120,131,FALSE,FALSE
,0,8,1,120,131,FALSE,FALSE
,0,9,1,120,131,FALSE,FALSE
,0,10,2,120,131,FALSE,FALSE
,0,11,2,120,131,FALSE,FALSE
,1,12,3,120,131,FALSE,FALSE
,1,13,3,120,131,FALSE,FALSE
,1,14,3,120,131,FALSE,FALSE
,2,15,4,120,131,FALSE,FALSE
,2,16,4,120,131,FALSE,FALSE
,5,17,5,120,131,FALSE,FALSE
,5,18,5,120,131,FALSE,FALSE
,9,19,6,120,131,FALSE,FALSE
,9,20,6,120,131,FALSE,FALSE
,16,21,7,120,131,FALSE,FALSE
,25,22,8,120,131,FALSE,FALSE
,25,23,8,120,131,FALSE,FALSE
,37,24,9,120,131,FALSE,FALSE
,50,25,10,120,131,FALSE,FALSE
,63,26,11,120,131,FALSE,FALSE
,75,27,12,120,131,FALSE,FALSE
,84,28,13,120,131,FALSE,FALSE
,91,29,14,120,131,FALSE,FALSE
,95,30,15,120,131,FALSE,FALSE
,98,31,16,120,131,FALSE,FALSE
,99,32,17,120,131,FALSE,FALSE
,100,33,18,120,131,TRUE,FALSE
,0,0,1,132,141,FALSE,TRUE
,0,1,1,132,141,FALSE,FALSE
,0,2,1,132,141,FALSE,FALSE
,0,3,1,132,141,FALSE,FALSE
,0,4,1,132,141,FALSE,FALSE
,0,5,1,132,141,FALSE,FALSE
,0,6,1,132,141,FALSE,FALSE
,0,7,1,132,141,FALSE,FALSE
,0,8,1,132,141,FALSE,FALSE
,0,9,1,132,141,FALSE,FALSE
,0,10,2,132,141,FALSE,FALSE
,0,11,2,132,141,FALSE,FALSE
,1,12,3,132,141,FALSE,FALSE
,1,13,3,132,141,FALSE,FALSE
,1,14,3,132,141,FALSE,FALSE
,2,15,4,132,141,FALSE,FALSE
,2,16,4,132,141,FALSE,FALSE
,5,17,5,132,141,FALSE,FALSE
,5,18,5,132,141,FALSE,FALSE
,9,19,6,132,141,FALSE,FALSE
,9,20,6,132,141,FALSE,FALSE
,16,21,7,132,141,FALSE,FALSE
,25,22,8,132,141,FALSE,FALSE
,25,23,8,132,141,FALSE,FALSE
,37,24,9,132,141,FALSE,FALSE
,50,25,10,132,141,FALSE,FALSE
,63,26,11,132,141,FALSE,FALSE
,75,27,12,132,141,FALSE,FALSE
,84,28,13,132,141,FALSE,FALSE
,91,29,14,132,141,FALSE,FALSE
,95,30,15,132,141,FALSE,FALSE
,98,31,16,132,141,FALSE,FALSE
,99,32,17,132,141,FALSE,FALSE
,100,33,18,132,141,TRUE,FALSE
,0,0,1,156,167,FALSE,TRUE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,1,156,167,FALSE,FALSE
,0,4,1,156,167,FALSE,FALSE
,0,5,1,156,167,FALSE,FALSE
,0,6,1,156,167,FALSE,FALSE
,0,7,1,156,167,FALSE,FALSE
,0,8,1,156,167,FALSE,FALSE
,0,9,1,156,167,FALSE,FALSE
,0,10,2,156,167,FALSE,FALSE
,0,11,2,156,167,FALSE,FALSE
,1,12,3,156,167,FALSE,FALSE
,1,13,3,156,167,FALSE,FALSE
,1,14,3,156,167,FALSE,FALSE
,2,15,4,156,167,FALSE,FALSE
,2,16,4,156,167,FALSE,FALSE
,5,17,5,156,167,FALSE,FALSE
,5,18,5,156,167,FALSE,FALSE
,9,19,6,156,167,FALSE,FALSE
,9,20,6,156,167,FALSE,FALSE
,16,21,7,156,167,FALSE,FALSE
,25,22,8,156,167,FALSE,FALSE
,25,23,8,156,167,FALSE,FALSE
,37,24,9,156,167,FALSE,FALSE
,50,25,10,156,167,FALSE,FALSE
,63,26,11,156,167,FALSE,FALSE
,75,27,12,156,167,FALSE,FALSE
,84,28,13,156,167,FALSE,FALSE
,91,29,14,156,167,FALSE,FALSE
,95,30,15,156,167,FALSE,FALSE
,98,31,16,156,167,FALSE,FALSE
,99,32,17,156,167,FALSE,FALSE
,100,33,18,156,167,TRUE,FALSE
,0,0,1,168,179,FALSE,TRUE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,1,168,179,FALSE,FALSE
,0,4,1,168,179,FALSE,FALSE
,0,5,1,168,179,FALSE,FALSE
,0,6,1,168,179,FALSE,FALSE
,0,7,1,168,179,FALSE,FALSE
,0,8,1,168,179,FALSE,FALSE
,0,9,1,168,179,FALSE,FALSE
,0,10,1,168,179,FALSE,FALSE
,0,11,1,168,179,FALSE,FALSE
,0,12,2,168,179,FALSE,FALSE
,0,13,2,168,179,FALSE,FALSE
,0,14,2,168,179,FALSE,FALSE
,1,15,3,168,179,FALSE,FALSE
,1,16,3,168,179,FALSE,FALSE
,2,17,4,168,179,FALSE,FALSE
,5,18,5,168,179,FALSE,FALSE
,5,19,5,168,179,FALSE,FALSE
,9,20,6,168,179,FALSE,FALSE
,16,21,7,168,179,FALSE,FALSE
,25,22,8,168,179,FALSE,FALSE
,25,23,8,168,179,FALSE,FALSE
,37,24,9,168,179,FALSE,FALSE
,50,25,10,168,179,FALSE,FALSE
,63,26,11,168,179,FALSE,FALSE
,63,27,11,168,179,FALSE,FALSE
,75,28,12,168,179,FALSE,FALSE
,84,29,13,168,179,FALSE,FALSE
,91,30,14,168,179,FALSE,FALSE
,95,31,15,168,179,FALSE,FALSE
,98,32,16,168,179,FALSE,FALSE
,99,33,17,168,179,TRUE,FALSE
,0,0,1,180,299,FALSE,TRUE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,1,180,299,FALSE,FALSE
,0,7,1,180,299,FALSE,FALSE
,0,8,1,180,299,FALSE,FALSE
,0,9,1,180,299,FALSE,FALSE
,0,10,1,180,299,FALSE,FALSE
,0,11,1,180,299,FALSE,FALSE
,0,12,2,180,299,FALSE,FALSE
,0,13,2,180,299,FALSE,FALSE
,0,14,2,180,299,FALSE,FALSE
,1,15,3,180,299,FALSE,FALSE
,1,16,3,180,299,FALSE,FALSE
,2,17,4,180,299,FALSE,FALSE
,5,18,5,180,299,FALSE,FALSE
,5,19,5,180,299,FALSE,FALSE
,9,20,6,180,299,FALSE,FALSE
,16,21,7,180,299,FALSE,FALSE
,25,22,8,180,299,FALSE,FALSE
,25,23,8,180,299,FALSE,FALSE
,37,24,9,180,299,FALSE,FALSE
,50,25,10,180,299,FALSE,FALSE
,63,26,11,180,299,FALSE,FALSE
,63,27,11,180,299,FALSE,FALSE
,75,28,12,180,299,FALSE,FALSE
,84,29,13,180,299,FALSE,FALSE
,91,30,14,180,299,FALSE,FALSE
,95,31,15,180,299,FALSE,FALSE
,98,32,16,180,299,FALSE,FALSE
,99,33,17,180,299,TRUE,FALSE
