id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,37,10,9,66,71,FALSE,FALSE
,37,11,9,66,71,FALSE,FALSE
,37,12,9,66,71,FALSE,FALSE
,50,13,10,66,71,FALSE,FALSE
,50,14,10,66,71,FALSE,FALSE
,50,15,10,66,71,FALSE,FALSE
,50,16,10,66,71,FALSE,FALSE
,63,17,11,66,71,FALSE,FALSE
,63,18,11,66,71,FALSE,FALSE
,75,19,12,66,71,FALSE,FALSE
,75,20,12,66,71,FALSE,FALSE
,84,21,13,66,71,FALSE,FALSE
,91,22,14,66,71,FALSE,FALSE
,91,23,14,66,71,FALSE,FALSE
,95,24,15,66,71,FALSE,FALSE
,98,25,16,66,71,FALSE,FALSE
,99,26,17,66,71,FALSE,TRUE
,0,0,2,72,77,TRUE,FALSE
,1,1,3,72,77,FALSE,FALSE
,2,2,4,72,77,FALSE,FALSE
,5,3,5,72,77,FALSE,FALSE
,9,4,6,72,77,FALSE,FALSE
,9,5,6,72,77,FALSE,FALSE
,16,6,7,72,77,FALSE,FALSE
,16,7,7,72,77,FALSE,FALSE
,16,8,7,72,77,FALSE,FALSE
,16,9,7,72,77,FALSE,FALSE
,25,10,8,72,77,FALSE,FALSE
,25,11,8,72,77,FALSE,FALSE
,25,12,8,72,77,FALSE,FALSE
,37,13,9,72,77,FALSE,FALSE
,37,14,9,72,77,FALSE,FALSE
,37,15,9,72,77,FALSE,FALSE
,37,16,9,72,77,FALSE,FALSE
,50,17,10,72,77,FALSE,FALSE
,50,18,10,72,77,FALSE,FALSE
,63,19,11,72,77,FALSE,FALSE
,63,20,11,72,77,FALSE,FALSE
,75,21,12,72,77,FALSE,FALSE
,84,22,13,72,77,FALSE,FALSE
,84,23,13,72,77,FALSE,FALSE
,91,24,14,72,77,FALSE,FALSE
,95,25,15,72,77,FALSE,FALSE
,98,26,16,72,77,FALSE,TRUE
,0,0,1,78,83,TRUE,FALSE
,0,1,2,78,83,FALSE,FALSE
,1,2,3,78,83,FALSE,FALSE
,2,3,4,78,83,FALSE,FALSE
,5,4,5,78,83,FALSE,FALSE
,5,5,5,78,83,FALSE,FALSE
,9,6,6,78,83,FALSE,FALSE
,9,7,6,78,83,FALSE,FALSE
,9,8,6,78,83,FALSE,FALSE
,9,9,6,78,83,FALSE,FALSE
,16,10,7,78,83,FALSE,FALSE
,16,11,7,78,83,FALSE,FALSE
,16,12,7,78,83,FALSE,FALSE
,25,13,8,78,83,FALSE,FALSE
,25,14,8,78,83,FALSE,FALSE
,25,15,8,78,83,FALSE,FALSE
,25,16,8,78,83,FALSE,FALSE
,37,17,9,78,83,FALSE,FALSE
,37,18,9,78,83,FALSE,FALSE
,50,19,10,78,83,FALSE,FALSE
,50,20,10,78,83,FALSE,FALSE
,63,21,11,78,83,FALSE,FALSE
,63,22,11,78,83,FALSE,FALSE
,75,23,12,78,83,FALSE,FALSE
,84,24,13,78,83,FALSE,FALSE
,91,25,14,78,83,FALSE,FALSE
,95,26,15,78,83,FALSE,TRUE
,0,0,2,84,89,TRUE,FALSE
,1,1,3,84,89,FALSE,FALSE
,2,2,4,84,89,FALSE,FALSE
,5,3,5,84,89,FALSE,FALSE
,5,4,5,84,89,FALSE,FALSE
,5,5,5,84,89,FALSE,FALSE
,9,6,6,84,89,FALSE,FALSE
,9,7,6,84,89,FALSE,FALSE
,9,8,6,84,89,FALSE,FALSE
,9,9,6,84,89,FALSE,FALSE
,9,10,6,84,89,FALSE,FALSE
,16,11,7,84,89,FALSE,FALSE
,16,12,7,84,89,FALSE,FALSE
,16,13,7,84,89,FALSE,FALSE
,16,14,7,84,89,FALSE,FALSE
,16,15,7,84,89,FALSE,FALSE
,25,16,8,84,89,FALSE,FALSE
,25,17,8,84,89,FALSE,FALSE
,25,18,8,84,89,FALSE,FALSE
,25,19,8,84,89,FALSE,FALSE
,37,20,9,84,89,FALSE,FALSE
,37,21,9,84,89,FALSE,FALSE
,37,22,9,84,89,FALSE,FALSE
,37,23,9,84,89,FALSE,FALSE
,50,24,10,84,89,FALSE,FALSE
,63,25,11,84,89,FALSE,FALSE
,63,26,11,84,89,FALSE,FALSE
,73,27,12,84,89,FALSE,FALSE
,84,28,13,84,89,FALSE,FALSE
