id,Percentile_Rank,Rapid_Letter_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,37,73,9,52,55,FALSE,FALSE
,37,72,9,52,55,FALSE,FALSE
,50,71,10,52,55,FALSE,FALSE
,50,70,10,52,55,FALSE,FALSE
,50,69,10,52,55,FALSE,FALSE
,50,68,10,52,55,FALSE,FALSE
,50,67,10,52,55,FALSE,FALSE
,50,66,10,52,55,FALSE,FALSE
,63,65,11,52,55,FALSE,FALSE
,63,64,11,52,55,FALSE,FALSE
,63,63,11,52,55,FALSE,FALSE
,63,62,11,52,55,FALSE,FALSE
,63,61,11,52,55,FALSE,FALSE
,63,60,11,52,55,FALSE,FALSE
,63,59,11,52,55,FALSE,FALSE
,75,58,12,52,55,FALSE,FALSE
,75,57,12,52,55,FALSE,FALSE
,75,56,12,52,55,FALSE,FALSE
,75,55,12,52,55,FALSE,FALSE
,75,54,12,52,55,FALSE,FALSE
,75,53,12,52,55,FALSE,FALSE
,75,52,12,52,55,FALSE,FALSE
,84,51,13,52,55,FALSE,FALSE
,84,50,13,52,55,FALSE,FALSE
,84,49,13,52,55,FALSE,FALSE
,84,48,13,52,55,FALSE,FALSE
,84,47,13,52,55,FALSE,FALSE
,84,46,13,52,55,FALSE,FALSE
,91,45,14,52,55,FALSE,FALSE
,91,44,14,52,55,FALSE,FALSE
,91,43,14,52,55,FALSE,FALSE
,91,42,14,52,55,FALSE,FALSE
,91,41,14,52,55,FALSE,FALSE
,91,40,14,52,55,FALSE,FALSE
,91,39,14,52,55,FALSE,FALSE
,91,38,14,52,55,FALSE,FALSE
,91,37,14,52,55,FALSE,FALSE
,91,36,14,52,55,FALSE,FALSE
,91,35,14,52,55,FALSE,FALSE
,95,34,15,52,55,FALSE,FALSE
,95,33,15,52,55,FALSE,FALSE
,95,32,15,52,55,FALSE,FALSE
,95,31,15,52,55,FALSE,FALSE
,95,30,15,52,55,FALSE,FALSE
,95,29,15,52,55,FALSE,FALSE
,95,28,15,52,55,FALSE,FALSE
,95,27,15,52,55,FALSE,FALSE
,98,26,16,52,55,FALSE,FALSE
,98,25,16,52,55,FALSE,FALSE
,98,24,16,52,55,FALSE,FALSE
,98,23,16,52,55,FALSE,FALSE
,98,22,16,52,55,FALSE,FALSE
,98,21,16,52,55,FALSE,FALSE
,98,20,16,52,55,FALSE,FALSE
,99,19,17,52,55,FALSE,FALSE
,99,18,17,52,55,FALSE,FALSE
,99,17,17,52,55,FALSE,FALSE
,99,16,17,52,55,FALSE,FALSE
,99,15,17,52,55,FALSE,FALSE
,100,14,18,52,55,FALSE,FALSE
,100,13,19,52,55,FALSE,FALSE
,100,12,20,52,55,FALSE,TRUE
,2,117,4,48,51,TRUE,FALSE
,5,116,5,48,51,FALSE,FALSE
,5,115,5,48,51,FALSE,FALSE
,5,114,5,48,51,FALSE,FALSE
,5,113,5,48,51,FALSE,FALSE
,5,112,5,48,51,FALSE,FALSE
,5,111,5,48,51,FALSE,FALSE
,5,110,5,48,51,FALSE,FALSE
,5,109,5,48,51,FALSE,FALSE
,5,108,5,48,51,FALSE,FALSE
,9,107,6,48,51,FALSE,FALSE
,9,106,6,48,51,FALSE,FALSE
,9,105,6,48,51,FALSE,FALSE
,9,104,6,48,51,FALSE,FALSE
,9,103,6,48,51,FALSE,FALSE
,9,102,6,48,51,FALSE,FALSE
,9,101,6,48,51,FALSE,FALSE
,16,100,7,48,51,FALSE,FALSE
,16,99,7,48,51,FALSE,FALSE
,16,98,7,48,51,FALSE,FALSE
,16,97,7,48,51,FALSE,FALSE
,16,96,7,48,51,FALSE,FALSE
,16,95,7,48,51,FALSE,FALSE
,16,94,7,48,51,FALSE,FALSE
,16,93,7,48,51,FALSE,FALSE
,16,92,7,48,51,FALSE,FALSE
,16,91,7,48,51,FALSE,FALSE
,16,90,7,48,51,FALSE,FALSE
,25,89,8,48,51,FALSE,FALSE
,25,88,8,48,51,FALSE,FALSE
,25,87,8,48,51,FALSE,FALSE
,25,86,8,48,51,FALSE,FALSE
,25,85,8,48,51,FALSE,FALSE
,25,84,8,48,51,FALSE,FALSE
,25,83,8,48,51,FALSE,FALSE
,25,82,8,48,51,FALSE,FALSE
,25,81,8,48,51,FALSE,FALSE
,37,80,9,48,51,FALSE,FALSE
,37,79,9,48,51,FALSE,FALSE
,37,78,9,48,51,FALSE,FALSE
,37,77,9,48,51,FALSE,FALSE
,37,76,9,48,51,FALSE,FALSE
,37,75,9,48,51,FALSE,FALSE
,37,74,9,48,51,FALSE,FALSE
,50,73,10,48,51,FALSE,FALSE
,50,72,10,48,51,FALSE,FALSE
,50,71,10,48,51,FALSE,FALSE
,50,70,10,48,51,FALSE,FALSE
,50,69,10,48,51,FALSE,FALSE
,50,68,10,48,51,FALSE,FALSE
,63,67,11,48,51,FALSE,FALSE
,63,66,11,48,51,FALSE,FALSE
,63,65,11,48,51,FALSE,FALSE
,63,64,11,48,51,FALSE,FALSE
,63,63,11,48,51,FALSE,FALSE
,63,62,11,48,51,FALSE,FALSE
,63,61,11,48,51,FALSE,FALSE
,75,60,12,48,51,FALSE,FALSE
,75,59,12,48,51,FALSE,FALSE
,75,58,12,48,51,FALSE,FALSE
,75,57,12,48,51,FALSE,FALSE
,75,56,12,48,51,FALSE,FALSE
,75,55,12,48,51,FALSE,FALSE
,75,54,12,48,51,FALSE,FALSE
,84,53,13,48,51,FALSE,FALSE
,84,52,13,48,51,FALSE,FALSE
,84,51,13,48,51,FALSE,FALSE
,84,50,13,48,51,FALSE,FALSE
,84,49,13,48,51,FALSE,FALSE
,84,48,13,48,51,FALSE,FALSE
,91,47,14,48,51,FALSE,FALSE
,91,46,14,48,51,FALSE,FALSE
,91,45,14,48,51,FALSE,FALSE
,91,44,14,48,51,FALSE,FALSE
,91,43,14,48,51,FALSE,FALSE
,91,42,14,48,51,FALSE,FALSE
,91,41,14,48,51,FALSE,FALSE
,91,40,14,48,51,FALSE,FALSE
,91,39,14,48,51,FALSE,FALSE
,91,38,14,48,51,FALSE,FALSE
,91,37,14,48,51,FALSE,FALSE
,95,36,15,48,51,FALSE,FALSE
,95,35,15,48,51,FALSE,FALSE
,95,34,15,48,51,FALSE,FALSE
,95,33,15,48,51,FALSE,FALSE
,95,32,15,48,51,FALSE,FALSE
,95,31,15,48,51,FALSE,FALSE
,95,30,15,48,51,FALSE,FALSE
,95,29,15,48,51,FALSE,FALSE
,98,28,16,48,51,FALSE,FALSE
,98,27,16,48,51,FALSE,FALSE
,98,26,16,48,51,FALSE,FALSE
,98,25,16,48,51,FALSE,FALSE
,98,24,16,48,51,FALSE,FALSE
,98,23,16,48,51,FALSE,FALSE
,98,22,16,48,51,FALSE,FALSE
,99,21,17,48,51,FALSE,FALSE
,99,20,17,48,51,FALSE,FALSE
,99,19,17,48,51,FALSE,FALSE
,99,18,17,48,51,FALSE,FALSE
,99,17,17,48,51,FALSE,FALSE
,100,16,18,48,51,FALSE,FALSE
,100,15,18,48,51,FALSE,FALSE
,100,14,19,48,51,FALSE,FALSE
,100,13,20,48,51,FALSE,TRUE
,1,118,3,60,65,TRUE,FALSE
,2,117,4,60,65,FALSE,FALSE
,2,116,4,60,65,FALSE,FALSE
,2,115,4,60,65,FALSE,FALSE
,2,114,4,60,65,FALSE,FALSE
,2,113,4,60,65,FALSE,FALSE
,2,112,4,60,65,FALSE,FALSE
,2,111,4,60,65,FALSE,FALSE
,2,110,4,60,65,FALSE,FALSE
,2,109,4,60,65,FALSE,FALSE
,5,108,5,60,65,FALSE,FALSE
,5,107,5,60,65,FALSE,FALSE
,5,106,5,60,65,FALSE,FALSE
,5,105,5,60,65,FALSE,FALSE
,5,104,5,60,65,FALSE,FALSE
,5,103,5,60,65,FALSE,FALSE
,5,102,5,60,65,FALSE,FALSE
,5,101,5,60,65,FALSE,FALSE
,5,100,5,60,65,FALSE,FALSE
,5,99,5,60,65,FALSE,FALSE
,5,98,5,60,65,FALSE,FALSE
,5,97,5,60,65,FALSE,FALSE
,5,96,5,60,65,FALSE,FALSE
,5,95,5,60,65,FALSE,FALSE
,9,94,6,60,65,FALSE,FALSE
,9,93,6,60,65,FALSE,FALSE
,9,92,6,60,65,FALSE,FALSE
,9,91,6,60,65,FALSE,FALSE
,9,90,6,60,65,FALSE,FALSE
,9,89,6,60,65,FALSE,FALSE
,9,88,6,60,65,FALSE,FALSE
,9,87,6,60,65,FALSE,FALSE
,16,86,7,60,65,FALSE,FALSE
,16,85,7,60,65,FALSE,FALSE
,16,84,7,60,65,FALSE,FALSE
,16,83,7,60,65,FALSE,FALSE
,16,82,7,60,65,FALSE,FALSE
,16,81,7,60,65,FALSE,FALSE
,16,80,7,60,65,FALSE,FALSE
